Date,Revenue (in million $),Profit (in million $),Stock Price ($),Market Sentiment,Number of New Customers,Customer Retention Rate (%),Expenses (in million $)
2029,418.62,35.68,244.92,Positive,6734,73.37,74.99
2030,233.48,30.0,212.72,Positive,1769,81.66,284.64
2024,172.73,35.68,126.06,Neutral,7396,72.96,122.81
2032,118.67,146.33,108.19,Neutral,3734,78.55,145.62
2026,336.97,16.5,201.89,Positive,6393,88.47,291.41
2024,254.17,12.24,107.72,Negative,8099,63.66,173.79
2025,463.73,46.23,215.63,Neutral,2021,75.6,186.68
2028,112.53,127.92,162.44,Neutral,1995,77.94,280.47
2030,328.18,82.92,290.29,Positive,7863,82.42,184.92
2030,242.7,49.33,185.67,Positive,6276,84.07,68.64
2029,269.36,65.28,123.37,Negative,6258,65.97,227.84
2025,408.51,20.37,139.62,Positive,4099,85.89,205.82
2024,138.16,61.91,217.21,Positive,3731,79.13,271.8
2023,253.17,146.04,262.23,Positive,8385,67.08,114.02
2031,384.27,25.52,159.83,Negative,1863,79.09,128.59
2026,463.03,44.9,152.6,Negative,5636,66.86,69.24
2025,164.49,140.16,252.03,Positive,3693,73.7,104.61
2026,457.02,85.51,251.86,Positive,8392,68.16,211.92
2031,427.21,130.5,51.74,Negative,5413,66.66,79.97
2030,477.16,55.25,179.7,Positive,4763,70.91,292.95
2026,198.75,107.48,228.07,Positive,4696,89.93,116.7
2024,301.07,17.21,119.66,Positive,7528,67.19,86.22
2032,494.26,43.89,218.03,Negative,5218,67.26,250.78
2027,352.92,98.69,183.94,Positive,5282,65.6,60.19
2026,230.38,40.83,227.79,Negative,9338,70.46,74.04
2031,376.38,64.14,284.18,Positive,2802,70.23,78.37
2029,316.58,107.41,107.14,Neutral,9815,76.66,182.41
2024,498.5,145.16,189.57,Negative,8158,70.17,137.3
2025,442.53,66.63,271.94,Negative,2648,64.85,274.64
2026,332.27,62.12,285.03,Positive,3961,64.82,187.18
2028,279.37,149.22,93.98,Positive,5493,69.76,236.62
2030,439.69,102.07,192.08,Negative,9050,79.09,112.62
2028,491.56,78.14,276.52,Negative,1225,70.5,211.28
2023,178.1,111.14,120.19,Negative,8679,65.31,285.11
2027,453.4,114.68,288.27,Positive,1301,89.0,290.9
2023,130.14,52.8,97.73,Positive,4327,74.56,143.17
2032,474.46,107.44,192.52,Neutral,8455,80.13,139.66
2032,450.95,113.71,224.25,Negative,8343,76.58,124.13
2032,424.05,131.39,278.31,Neutral,3950,75.05,249.57
2023,128.38,65.55,62.69,Negative,7614,60.83,194.72
2029,368.81,55.94,88.76,Neutral,2148,85.17,265.1
2023,114.94,125.16,140.05,Positive,4124,68.15,291.31
2029,134.14,17.24,182.84,Negative,7966,64.15,83.19
2024,306.52,55.21,248.8,Negative,6177,62.35,56.34
2027,132.35,69.96,222.12,Positive,2081,87.46,160.59
2028,385.84,102.43,119.98,Positive,5070,79.71,158.92
2029,119.09,89.25,89.66,Neutral,3744,70.26,72.95
2023,224.57,147.13,93.83,Neutral,7617,74.75,168.37
2023,285.87,100.97,62.01,Neutral,3849,67.83,53.83
2025,301.25,129.91,214.67,Negative,7303,88.21,193.87
